#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      241.1   374.5    74.4   139.1   161.9   223.7   246.4   260.0   270.3   284.0   303.5   339.6   450.1  3697.8 19748.0   4955.2     5000  1621776182420  1621776187754
read      287.6   316.5    63.8   128.6   150.9   262.8   305.7   330.7   349.1   373.4   409.2   474.2   656.7  4669.0 14516.9   9964.6    10000  1621776189258  1621776194567
read      306.3   279.7    74.4   122.9   145.2   280.7   337.7   369.9   394.7   425.2   465.1   537.5   774.3  2490.4 12314.1  15031.8    15000  1621776196070  1621776201338
read      312.2   201.3    74.4   119.8   142.3   288.6   348.1   384.6   412.5   447.1   489.2   554.5   838.1  1505.3  9076.8  19925.2    20000  1621776202840  1621776208124
read      331.0   263.5    68.9   118.9   140.5   300.2   362.9   402.1   434.0   472.0   521.7   608.7  1043.0  2733.3  7645.2  24915.8    25000  1621776209627  1621776214902
read      341.8   262.7    68.9   118.2   139.8   309.7   374.4   416.5   450.7   491.8   541.2   633.5  1172.7  1602.0 12190.5  30065.0    30000  1621776216405  1621776221669
read      348.2   261.1    68.9   116.6   137.9   311.8   387.2   430.3   464.1   505.1   557.8   662.9  1276.7  1862.5  8256.3  34920.2    35000  1621776223172  1621776228441
read      341.7   236.2    68.9   116.1   136.4   302.7   374.1   416.5   450.1   492.9   546.6   651.3  1370.5  1893.7  4608.5  39996.6    40000  1621776229943  1621776235203
read      349.0   289.1    68.9   116.0   135.8   305.0   379.5   423.2   456.9   498.5   552.1   660.3  1496.7  2106.0  7583.8  44896.4    45000  1621776236705  1621776241957
read      349.9   253.9    68.9   116.4   136.3   307.6   389.5   435.3   468.3   507.3   559.6   658.7  1536.3  2152.0  5232.7  49919.8    50000  1621776243459  1621776248708
read      350.8   275.9    63.8   116.1   136.3   311.8   387.6   429.1   461.0   500.7   551.4   637.2  1645.3  2236.5  6106.4  54824.0    55000  1621776250210  1621776255458
read      340.8   286.1    63.8   114.2   133.6   301.1   377.0   418.5   451.0   492.0   544.3   629.4  1538.2  2333.5  6956.2  60169.0    60000  1621776256960  1621776262219
read      338.5   298.1    63.8   113.2   132.0   294.7   369.7   414.1   447.7   489.8   544.8   634.6  1566.3  2558.6  8729.5  64800.0    65000  1621776263721  1621776268979
read      336.2   265.0    63.8   111.8   131.6   297.4   369.9   411.6   443.8   484.4   539.1   620.1  1628.8  2565.3  4623.4  70144.2    70000  1621776270481  1621776275746
read      338.4   312.6    63.8   113.5   132.3   283.7   354.6   401.0   438.9   488.0   552.6   659.7  1724.4  2837.4  8250.3  74976.0    75000  1621776277248  1621776282518
read      338.1   318.2    63.8   112.7   131.6   293.3   366.0   408.7   442.1   484.9   541.9   627.0  1611.1  3044.5 10877.2  79912.4    80000  1621776284021  1621776289279
read      337.3   286.4    63.8   114.0   133.7   294.7   366.5   408.9   443.3   486.0   544.1   637.3  1435.5  3130.8  7778.5  84785.8    85000  1621776290781  1621776296030
read      340.2   343.9    63.8   113.4   133.8   296.6   367.4   409.5   443.6   489.1   550.9   639.9  1126.2  3661.5  9420.0  90090.6    90000  1621776297532  1621776302785
read      337.3   283.6    63.8   115.8   136.5   298.9   370.2   413.1   446.9   491.9   552.5   640.8   910.7  3604.2  7948.4  95062.0    95000  1621776304288  1621776309550
read      329.0   287.3    63.8   116.1   136.2   287.6   357.8   403.4   441.1   488.8   549.5   634.8   841.3  3498.9  7943.6 100379.4   100000  1621776311053  1621776316320
read      327.2   262.7    63.8   117.4   139.0   291.5   357.7   401.2   436.4   482.4   544.1   632.2   816.8  3363.5  7150.7 105047.5   105000  1621776317821  1621776323085
read      332.4   277.7    63.8   119.7   142.3   296.2   365.2   408.2   443.8   488.5   545.5   631.4   832.4  3511.7  7366.7 109790.2   110000  1621776324587  1621776329859
read      330.0   262.5    63.8   121.5   145.0   298.4   364.2   404.1   436.8   480.8   541.6   629.4   802.6  2951.3  9206.3 115069.4   115000  1621776331361  1621776336612
read      327.0   229.3    63.8   123.8   147.7   295.7   360.7   400.7   433.2   475.4   534.4   625.2   794.3  3096.1  5835.0 119967.2   120000  1621776338114  1621776343388
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.69%,67.34%,100.00%
